advertiser,category,business,address,city,zip,phone,website,email,leadership,grade,mission,extracurricula,description,other
,Protestant,"TEA Christian Academy (Talent Education & Art Christian Academy, Inc.)",2637 Eastern Blvd.,Montgomery,36117,(334) 517-1717,https://teachristianacademy.net,teachristianacademy1@gmail.com,"Principal: Dr. Maggie McElroy-Washington, Vice Principal Teacher: Bonnie Robinson",Grades: Pre K-12th; non traditional students,,"Activities/Clubs: Acting, Choir, Drum-Line, Debate, Student Government Associate, Dance Team, Modeling, sewing, Arts and Crafts,","Religious Affiliation: Generic Bible Base Teaching Curriculum: A-Beka and IXL Learning Platform, Dual Enrollment, Job Training, College Prep","Testing Requirement: IOWA Standardized Registration Deadline: Open enrollment. Must have a 3.20 GPA to enroll. Scholarships: Alabama Accountability Act Scholarship Funds Certified teachers, School Days are Monday-Thursday from 7:30 a.m. until 12:30 p.m., (after school tutorial) Open to the community: 3:30-6:00 p.m., Summer Enrichments, Credit Recovery.Tuition: Please call for tuition rates. Uniforms Required."
,Protestant,Valiant Cross Academy,301 Dexter Avenue (located inside of River City Church),Montgomery,36104,(334) 694-9200,https://www.Valiantcross.org,anthony@valiantcross.org,Head of School: Anthony Brock,6th grade - 12th grade,"Our mission, our purpose is to help raise young men up to be supernatural. Men who will learn from their youth, to let go of self, to let the Holy Spirit raise them to new heights. Courageous men, righteous men, committed men, loving men who will rise up to lead, to serve, to inspire. We will provide the armor to help them rise above. To rise above with Honor, with Discipline, with Integrity, with Excellence with Love.","Sports: Track, Football, Basketball, Baseball, Cross Country and Golf. We are part of AISA.",Founded: 2015 Religious Affiliation: Non-denominational Curriculum: Alabama College and Career Standards and Alabama Course of Study,Founded: 2015 Religious Affiliation: Non-denominational Curriculum: Alabama College and Career Standards and Alabama Course of Study
,Protestant,Victory Christian Academy,3151 Highway 14,Millbrook,36054,(334) 285-0211,https://www.vcamillbrook.com,,Administrator: Jill Pastorelli,K4 through 12th,"VCA is dedicated to providing an accredited education with a biblical worldview in order to develop a Christ-like, intellectually-equipped, community-focused, and well-rounded student. It is our goal to furnish requirements and standards that will exceed governmental standards of education.","Sports: Baseball, boys & girls basketball, girls volleyball, track and girls fast pitch softball. Clubs: Yearbook, Drama, HomeEc, Life Skills and Government",Founded: 1971 Religious Affiliation: Baptist Curriculum: A Beka and Bob Jones,"Testing requirements: Interview for admission. Registration deadline: Enrollment for new students is year round Accreditation: AACS and MSA-SCESS Other: After school care provided by daycare until 6 p.m., I pads and Chrome Books accessible to all students, Smart Boards available for classrooms.Tuition: Please check website for updated tuition.Uniforms req"
a,Roman Catholic,Montgomery Catholic Preparatory School,"St. Bede Elementary Campus 3850 Atlanta Highway, Montgomery, 36109 Holy Spirit Elementary Campus 8580 Vaughn Road, Montgomery, 36117 Middle School Campus 5350 Vaughn Rd, Montgomery, 36116 High School Campus 5350 Vaughn Rd, Montgomery, 36116",Montgomery,36116,St. Bede Campus (K3-6): (334) 272.3033 Holy Spirit Campus (K3-6): (334) 649.4404 Middle School (7-8): (334) 272.2465 High School (9-12): (334) 272.7220,https://www.montgomerycatholic.org,,Leadership: President: Justin Castanza Middle and High School Principal: Eileen Aaron Middle and High School Vice Principal: Dr. John Johnston Elementary Principal St. Bede Campus: Laurie Gulley Elementary Principal Holy Spirit Campus: Karen Lathram,"Saint Bede Campus (K3-6), Holy Spirit Campus (K3-6), Middle School Campus(7-8), and High School Campus (9-12).","We are the K3-12 regional Catholic school in Montgomery, and our 152-year history of educational excellence makes MCPS the oldest continuously running non-public K-12 school in the state of Alabama. We strive to help each of our students reach their God-given potential by offering the opportunity to grow in faith, with rigorous academics, and opportunities to perform both athletically and artistically.Sports: Cross country, football, flag football, volleyball, cheerleading, wrestling, indoor track, basketball, outdoor track, baseball, softball, golf, soccer, and tennis. Fine Arts: Beginning Band (grades 5-6), Concert Band, Marching Band, Jazz Band, Color Guard, Choir, and Drama.","Sports: Cross country, football, flag football, volleyball, cheerleading, wrestling, indoor track, basketball, outdoor track, baseball, softball, golf, soccer, and tennis. Fine Arts: Beginning Band (grades 5-6), Concert Band, Marching Band, Jazz Band, Color Guard, Choir, and Drama. Service and Clubs: VEX Robotics, Cyber Patriots, Campus Ministry, National Honor Society, Mu Alpha Theta, Key Club, Pro-Life Club, House Governance Council, Youth in Government, and Key Club. Students have service opportunities both on and off campus and through the Encounter program, helping them to share the Light of Christ in the community Summer Camps: Athletic, Art, MakerSpace, Band, Color Guard, Jr. Engineering, Drama, Math Camp","Founded: 1873 by the Sisters of Loretto. The oldest continuous non-public K-12 school in the state of Alabama. One of the reasons we have been around for 152 years, is because we value relationships. We want to get to know you and your student(s). This information is just the beginning. Visit us online to schedule a campus tour and learn how your child can become a part of the Montgomery Catholic family. Religious Affiliation: Roman Catholic, all campuses attend weekly Mass. Students of all faiths are welcome. Curriculum: Core classes for all grade levels include Math, Science, History, English, and Theology. Standard classes are college preparatory level. AP courses are offered in high school only, while honors courses are offered in both middle and high school.","Additional Info: Testing Requirements: Placement test (offered April, June, July, and August) Students in grades 10-12 participate in a one-to-one Apple laptop program. Daily tutorials offered after school (grades 7-12) Annual class retreats for middle and high school students. Fall and Spring retreats are offered for high school students. Tuition: Please visit montgomerycatholic.org for tuition rates. Multi-Child Discount is available. For families with 4 or more students, a tuition cap may be applicable. Please contact the Montgomery Catholic Business Office to discuss the tuition cap at (334) 272-7220. Rates are subject to change. Visit our website to schedule a private tour with Julie Emerson, Director of Admissions: (334) 318-3777 or jemerson@montgomerycatholic.org."
a,Roman Catholic,Resurrection Catholic School,2815 Forbes Dr.,Montgomery,36110,(334) 230-1970,https://rcmsouth.org,school@resurrection-missions.com,Principal: Dr. Teisha Pessoa,Preschool age Pre k 1& 2-8th,"Resurrection Catholic School is committed to continuing the Catholic tradition of providing an environment of academic excellence in which students can grow intellectually, spiritually, physically, and sociall","Clubs: Chess Club, Student Council, Male and Female Mentor Programs, Dance, STEM Club, Book Clubs, Home Economics, and Choir.","Religious Affiliation: Roman Catholic Curriculum: Basic; strong traditional skills core curriculum with extensive enrichment & acceleration. Religion classes required; technology emphasized; enrichment in arts & conversational Spanish; strong accelerated reading program in place. Hot breakfast and lunches, computer technology.","Testing Requirement: Placement Pre K 1 & 2 - 8 Registration deadline: Please call for dates. Accreditation: Advanced Ed. (Formerly known as SACS) Other: Google School, Acellus, Weekly Mass service, Public Speaking Readiness, AR Star Program, First Class Prek4 program and Summer Enrichment and Feeding Programs Tuition: Affordable; call for more information. Family discounts available. Uniforms"
,Homeschools,Classical Conversations,,,,,https://classicalconversations.com,mmoody@classicalconversations.com,Mandy Moody,,,,,
,Homeschools,Dayspring Academy/High School,,,,(334) 518-9181,https://www.dsacademy.org,dayspringacademy@yandex.com,Donna Mitchell,,,,,
,Homeschools,Evangel Christian Academy,,,,(334) 272-3882,https://www.evangelfamily.org,,Rachelle Whatley,,,,,A ministry of Evangel Temple
,Homeschools,Everest Academy,,,,(205) 433-9828,https://alabamahomeschooling.com,,Deb Spradlin,,,,,
,Homeschools,Ezekiel Academy,,,,(334) 315-0010,https://www.ezekielacademy.org,,Maretta Oswald,,,,,
,Homeschools,Huntington Learning Center,,,,(334) 277-9200,https://huntingtonhelps.com,,Christi Davis,,,,,One on one instruction in a specific course
,Homeschools,New Hope Academy,,,,(334) 361-9505,https://www.newhope4kids.com,,Tina Halbert,,,,,
,Homeschools,Outlook Academy,,,,(334) 290-0919,https://www.outlookacademy.com,info@outlookacademy.com,Carren Joye,,,,,Ministry of Tri County Community Church in Millbrook
,Homeschools,River Crest Academy,,,,(334) 398-2008,https://www.rivercrestacademy.com,,Tanya Murphy,,,,,
,Unique Learning Needs,Churchill Academy,3265 McGehee Road,Montgomery,36111,(334) 625-8252,https://churchillacademyinc.org/academics,,Director: Patsy Lockwood,K -12th,"Churchill Academy strives to define success individually within the structure of a supportive, nurturing environment, focusing on the uniqueness of the learners social, emotional, and academic needs; resulting in students demonstrating self-advocacy and reaching their full potential.""","Clubs/Activities/Programs: Track, Chess, Journalism, Scouts, Work Study, Academic tutoring, snapology, ACT administration, Test Prep, Individual Learning Programs, Dual collegiate enrollment, work study for credit, career exploration, vocational rehab, Easter Seals, Prom, Dances, MANE, family involved activities away from school and at school, and Churchill Academy Parent Association",,Registration: Begins January Entrance Requirements: Churchill conducts individualized assessments to determine students' strengths and areas of concern. Placement testing is given to lower and middle school students. The testing program is vital to starting students in classes and curriculum that best meets their needs. Accreditation: AISA and COGNIA (formerly known as AdvancED) Tuition: Please call for tuition prices. Scholarships available through Alabama Opportunity Scholarship Fund. Uniforms required
